Transect,Waypoint,Latitude,Longitude,Type,Leg
120,120.2,49.485866,-127.963928,Compulsory,1
122,122.1,50.077583,-127.868524,Compulsory,1
122,122.2,49.630652,-128.45014,Compulsory,1
124,124.1,50.449639,-128.081812,Compulsory,1
124,124.2,49.975782,-128.702631,Compulsory,1
126,126.1,50.698335,-128.419893,Compulsory,1
126,126.2,50.233823,-129.031702,Compulsory,1
41,41.1,37.850676,-122.663065,Extra,3
41,41.11,37.704177,-122.983954,Extra,3
41,41.12,37.683414,-122.98951,Extra,3
41,41.12,37.691768,-122.979749,Extra,3
41,41.13,37.687472,-123.020594,Extra,3
41,41.2,37.558659,-123.301921,Extra,3
43,43.1,38.08678,-122.984194,Extra,3
43,43.2,37.794971,-123.625267,Extra,3
45,45.1,38.404034,-123.124422,Extra,3
45,45.2,38.112171,-123.768187,Extra,3
47,47.1,38.652168,-123.418973,Extra,3
47,47.2,38.360246,-124.064981,Extra,3
49,49.1,38.897906,-123.719972,Extra,3
49,49.2,38.606334,-124.368162,Extra,3
51,51.1,39.245689,-123.796043,Extra,3
51,51.2,38.953867,-124.447517,Extra,3
53,53.1,39.61552,-123.80468,Extra,3
53,53.2,39.324092,-124.459723,Extra,3
55,55.1,39.924988,-123.982689,Extra,3
55,55.2,39.633314,-124.640477,Extra,3
57,57.1,40.170437,-124.28776,Extra,3
57,57.2,39.857554,-124.99508,Extra,3
60,60.1,40.610721,-124.380984,Extra,2
60,60.2,40.610661,-125.149619,Extra,2
62,62.1,40.931048,-124.171797,Extra,2
62,62.2,40.931317,-124.944113,Extra,2
64,64.1,41.255667,-124.144026,Extra,2
64,64.2,41.255328,-125.00791100000001,Extra,2
66,66.1,41.585273,-124.14897,Extra,2
66,66.2,41.58548,-125.106865,Extra,2
68,68.1,41.925067,-124.257767,Extra,2
68,68.2,41.924678,-125.15793,Extra,2
70,70.1,42.260867,-124.430442,Extra,2
70,70.2,42.260985,-125.220679,Extra,2
72,72.1,42.594062,-124.424011,Extra,2
72,72.2,42.59417,-125.218,Extra,2
26,26.1,35.3456,-121.887,Mammal,3
26,26.2,34.3471,-123.999,Mammal,3
42,42.1,37.6835,-123.461,Mammal,3
42,42.2,36.6842,-125.635,Mammal,3
58,58.1,39.9753,-125.167,Mammal,3
58,58.2,38.9751,-127.411,Mammal,3
73,73.1,42.761,-125.341,Mammal,2
73,73.2,42.7611,-128.065,Mammal,2
87,87.1,45.0898,-125.308,Mammal,2
87,87.2,45.09,-128.141,Mammal,2
101,101.1,47.425,-126.155,Mammal,1
101,101.2,47.4247,-129.111,Mammal,1
1,1.1,34.468227,-120.48546,Saildrone,4
1,1.2,34.434894,-120.555395,Saildrone,4
2,2.1,34.534909,-120.557578,Saildrone,4
2,2.2,34.501595,-120.627254,Saildrone,4
3,3.1,34.589069,-120.655698,Saildrone,4
3,3.2,34.555833,-120.725612,Saildrone,4
4,4.1,34.691987,-120.626721,Saildrone,4
4,4.2,34.657961,-120.697821,Saildrone,4
5,5.1,34.770367,-120.647447,Saildrone,4
5,5.2,34.737016,-120.717682,Saildrone,4
6,6.1,34.863477,-120.635707,Saildrone,4
6,6.2,34.831621,-120.706911,Saildrone,4
7,7.1,34.946451,-120.669031,Saildrone,3
7,7.2,34.913199,-120.739163,Saildrone,3
8,8.1,35.051082,-120.650517,Saildrone,3
8,8.2,35.017435,-120.721889,Saildrone,3
9,9.1,35.136705,-120.680019,Saildrone,3
9,9.2,35.10346,-120.75055,Saildrone,3
10,10.1,35.173367,-120.821713,Saildrone,3
10,10.2,35.140822,-120.890951,Saildrone,3
11,11.1,35.23544,-120.892384,Saildrone,3
11,11.2,35.202119,-120.963052,Saildrone,3
12,12.1,35.299448,-120.949708,Saildrone,3
12,12.2,35.333067,-120.878582,Saildrone,3
13,13.1,35.4187,-120.887727,Saildrone,3
13,13.2,35.38851,-120.951827,Saildrone,3
14,14.1,35.457359,-121.010542,Saildrone,3
14,14.2,35.425154,-121.081814,Saildrone,3
15,15.1,35.525018,-121.087653,Saildrone,3
15,15.2,35.491664,-121.158608,Saildrone,3
16,16.1,35.592488,-121.145637,Saildrone,3
16,16.2,35.55991,-121.217942,Saildrone,3
17,17.1,35.647522,-121.245967,Saildrone,3
17,17.2,35.614115,-121.317031,Saildrone,3
18,18.1,35.702411,-121.316662,Saildrone,3
18,18.2,35.670542,-121.388644,Saildrone,3
19,19.1,35.782717,-121.344705,Saildrone,3
19,19.2,35.750184,-121.414129,Saildrone,3
20,20.1,35.846324,-121.417627,Saildrone,3
20,20.2,35.813391,-121.489717,Saildrone,3
21,21.1,35.917069,-121.478113,Saildrone,3
21,21.2,35.883828,-121.549055,Saildrone,3
22,22.1,35.994172,-121.506492,Saildrone,3
22,22.2,35.96161,-121.578248,Saildrone,3
23,23.1,36.048086,-121.59226,Saildrone,3
23,23.2,36.01476,-121.663683,Saildrone,3
24,24.1,36.120914,-121.646192,Saildrone,3
24,24.2,36.087271,-121.718963,Saildrone,3
25,25.1,36.18787,-121.713736,Saildrone,3
25,25.2,36.154454,-121.785291,Saildrone,3
26,26.1,36.230465,-121.820029,Saildrone,3
26,26.2,36.196432,-121.892087,Saildrone,3
27,27.1,36.285427,-121.899824,Saildrone,3
27,27.2,36.252087,-121.971574,Saildrone,3
28,28.1,36.372294,-121.918774,Saildrone,3
28,28.2,36.339354,-121.991544,Saildrone,3
29,29.1,36.465444,-121.933221,Saildrone,3
29,29.2,36.432086,-122.004933,Saildrone,3
30,30.1,36.54997,-121.959554,Saildrone,3
30,30.2,36.517274,-122.032009,Saildrone,3
31,31.1,36.724426,-121.813106,Saildrone,3
31,31.2,36.691018,-121.885149,Saildrone,3
32,32.1,36.816005,-121.808957,Saildrone,3
32,32.2,36.783328,-121.881913,Saildrone,3
33,33.1,36.898221,-121.849183,Saildrone,3
33,33.2,36.864872,-121.921431,Saildrone,3
34,34.1,36.940372000000004,-121.951161,Saildrone,3
34,34.2,36.906981,-122.024832,Saildrone,3
35,35.1,36.957293,-122.121947,Saildrone,3
35,35.2,36.923801,-122.194397,Saildrone,3
36,36.1,37.006265,-122.205512,Saildrone,3
36,36.2,36.97333,-122.278107,Saildrone,3
37,37.1,37.068667,-122.272603,Saildrone,3
37,37.2,37.035634,-122.34443,Saildrone,3
38,38.1,37.124134,-122.36504,Saildrone,3
38,38.2,37.090709,-122.438966,Saildrone,3
39,39.1,37.204198,-122.41411,Saildrone,3
39,39.2,37.171001,-122.486214,Saildrone,3
40,40.1,37.30344,-122.427589,Saildrone,3
40,40.2,37.269308,-122.500384,Saildrone,3
41,41.1,37.391832,-122.441623,Saildrone,3
41,41.2,37.358591,-122.513948,Saildrone,3
42,42.1,37.459153,-122.488541,Saildrone,3
42,42.2,37.426321,-122.56266,Saildrone,3
43,43.1,37.532175,-122.533586,Saildrone,3
43,43.2,37.498843,-122.606357,Saildrone,3
44,44.1,37.62915,-122.517597,Saildrone,3
44,44.2,37.595767,-122.592535,Saildrone,3
45,45.1,37.730698,-122.515385,Saildrone,3
45,45.2,37.697387,-122.588378,Saildrone,3
46,46.1,37.756218,-122.644742,Saildrone,3
46,46.2,37.722821,-122.72134,Saildrone,3
0,0.1,37.799599,-122.519865,Transit,3
0,0.2,37.763413,-122.644529,Transit,3
0,0.3,37.787062,-122.810357,Transit,3
0,0.4,37.80646,-122.852771,Transit,3
0,0.5,37.9088,-124.8251,Transit,3
0,0.6,44.3594,-129.1222,Transit,3
0,0.7,50.642324,-128.470935,Transit,3
