Order,Transect,Longitude,Latitude,Type,Region
59,59,-125.289753,40.119012,Adaptive,Central CA
60,59,-124.494103,40.437776,Adaptive,Central CA
61,61,-125.173556,40.597243,Adaptive,Central CA
62,61,-124.443617,40.595544,Adaptive,Central CA
63,63,-125.039197,40.898466,Adaptive,Central CA
64,63,-124.246996,40.898624,Adaptive,Central CA
65,65,-125.00563,41.235914,Adaptive,Central CA
66,65,-124.183265,41.238898,Adaptive,Central CA
67,67,-125.080535,41.587685,Adaptive,Central CA
68,67,-124.188222,41.585365,Adaptive,Central CA
69,69,-125.146753,41.912718,Adaptive,Central CA
70,69,-124.353853,41.91421,Adaptive,Central CA
71,71,-125.225,42.26083,Adaptive,WA/OR
72,71,-124.444,42.2608,Adaptive,WA/OR
73,73,-125.218,42.59417,Adaptive,WA/OR
74,73,-124.441,42.5942,Adaptive,WA/OR
75,75,-125.325,42.9275,Adaptive,WA/OR
76,75,-124.537,42.9275,Adaptive,WA/OR
77,77,-125.219,43.26083,Adaptive,WA/OR
78,77,-124.431,43.2608,Adaptive,WA/OR
79,79,-125.24,43.59848,Adaptive,WA/OR
80,79,-124.25,43.5985,Adaptive,WA/OR
81,81,-125.223,43.9275,Adaptive,WA/OR
82,81,-124.19,43.9275,Adaptive,WA/OR
83,83,-125.2896,44.247408,Adaptive,WA/OR
84,83,-124.15,44.2474,Adaptive,WA/OR
85,85,-125.212,44.59417,Adaptive,WA/OR
86,85,-124.12,44.5942,Adaptive,WA/OR
87,104,-126.288,47.76441,Adaptive,WA/OR
88,104,-124.652,47.759,Adaptive,WA/OR
89,106,-126.371,48.09333,Adaptive,WA/OR
90,106,-124.82,48.0933,Adaptive,WA/OR
91,108,-126.688,48.42226,Adaptive,WA/OR
92,108,-124.9,48.4223,Adaptive,WA/OR
93,110,-125.593241,48.447181,Adaptive,Vancouver Island
94,110,-125.19206,48.754975,Adaptive,Vancouver Island
95,112,-126.273419,48.446586,Adaptive,Vancouver Island
96,112,-125.635184,48.951625,Adaptive,Vancouver Island
97,114,-126.819475,48.544724,Adaptive,Vancouver Island
98,114,-126.047588,49.13991,Adaptive,Vancouver Island
99,116,-127.066425,48.864133,Adaptive,Vancouver Island
100,116,-126.480266,49.321844,Adaptive,Vancouver Island
101,118,-127.445224,49.095101,Adaptive,Vancouver Island
102,118,-126.844053,49.561402,Adaptive,Vancouver Island
103,120,-127.783255,49.355915,Adaptive,Vancouver Island
104,120,-127.218752,49.799233,Adaptive,Vancouver Island
105,122,-128.176884,49.585089,Adaptive,Vancouver Island
106,122,-127.589185,50.032551,Adaptive,Vancouver Island
107,124,-128.594983,49.789131,Adaptive,Vancouver Island
108,124,-128.017197,50.231539,Adaptive,Vancouver Island
109,126,-128.920582,50.063818,Adaptive,Vancouver Island
110,126,-128.310084,50.577861,Adaptive,Vancouver Island
129,20,-121.297569,34.459901,Compulsory,Central CA
130,20,-120.668243,34.761007,Compulsory,Central CA
131,22,-121.696984,34.658987,Compulsory,Central CA
132,22,-120.729289,35.115257,Compulsory,Central CA
133,24,-121.742266,35.017399,Compulsory,Central CA
134,24,-120.947085,35.407432,Compulsory,Central CA
135,26,-121.886424,35.345054,Compulsory,Central CA
136,26,-121.258974,35.641319,Compulsory,Central CA
137,28,-122.124055,35.609707,Compulsory,Central CA
138,28,-121.494391,35.909364,Compulsory,Central CA
139,30,-122.353342,35.887552,Compulsory,Central CA
140,30,-121.721616,36.183935,Compulsory,Central CA
141,32,-122.583857,36.161232,Compulsory,Central CA
142,32,-121.943672,36.460108,Compulsory,Central CA
143,34,-122.527975,36.5618,Compulsory,Central CA
144,34,-121.883688,36.866078,Compulsory,Central CA
145,36,-122.942589,36.767939,Compulsory,Central CA
146,36,-122.294841,37.058358,Compulsory,Central CA
147,38,-123.123365,37.073171,Compulsory,Central CA
148,38,-122.481064,37.373328,Compulsory,Central CA
149,40,-123.391818,37.330092,Compulsory,Central CA
150,40,-122.672091,37.660431,Compulsory,Central CA
151,42,-123.685862,37.578827,Compulsory,Central CA
152,42,-122.842672,37.968698,Compulsory,Central CA
153,44,-123.68285,37.961347,Compulsory,Central CA
154,44,-123.031946,38.256559,Compulsory,Central CA
155,46,-123.938766,38.231275,Compulsory,Central CA
156,46,-123.287862,38.520499,Compulsory,Central CA
157,48,-124.238425,38.486635,Compulsory,Central CA
158,48,-123.590715,38.78142,Compulsory,Central CA
159,50,-124.390807,38.805919,Compulsory,Central CA
160,50,-123.736681,39.09774,Compulsory,Central CA
161,52,-124.493251,39.135353,Compulsory,Central CA
162,52,-123.8383,39.430389,Compulsory,Central CA
163,54,-124.509142,39.513921,Compulsory,Central CA
164,54,-123.876666,39.796896,Compulsory,Central CA
165,56,-124.898123,39.722833,Compulsory,Central CA
166,56,-124.126117,40.064706,Compulsory,Central CA
167,58,-125.169623,39.980781,Compulsory,Central CA
168,58,-124.390855,40.307123,Compulsory,Central CA
169,60,-125.277368,40.428082,Compulsory,Central CA
170,60,-124.500877,40.441203,Compulsory,Central CA
171,62,-125.112957,40.759447,Compulsory,Central CA
172,62,-124.351631,40.759447,Compulsory,Central CA
173,64,-125.027405,41.06675,Compulsory,Central CA
174,64,-124.229537,41.06675,Compulsory,Central CA
175,66,-125.030941,41.412023,Compulsory,Central CA
176,66,-124.175567,41.411149,Compulsory,Central CA
177,68,-125.123348,41.729871,Compulsory,Central CA
178,68,-124.257252,41.728918,Compulsory,Central CA
179,70,-125.146,42.09417,Compulsory,WA/OR
180,70,-124.368929,42.092835,Compulsory,WA/OR
181,72,-125.28,42.4275,Compulsory,WA/OR
182,72,-124.495,42.4275,Compulsory,WA/OR
183,74,-125.35,42.76083,Compulsory,WA/OR
184,74,-124.567,42.7608,Compulsory,WA/OR
185,76,-125.259,43.09417,Compulsory,WA/OR
186,76,-124.46,43.09417,Compulsory,WA/OR
187,78,-125.243,43.42575,Compulsory,WA/OR
188,78,-124.34,43.4258,Compulsory,WA/OR
189,80,-125.286,43.76187,Compulsory,WA/OR
190,80,-124.22,43.7619,Compulsory,WA/OR
191,82,-125.204,44.0902,Compulsory,WA/OR
192,82,-124.17,44.0901,Compulsory,WA/OR
193,84,-125.24,44.4275,Compulsory,WA/OR
194,84,-124.13,44.4275,Compulsory,WA/OR
195,86,-125.299,44.76012,Compulsory,WA/OR
196,86,-124.11,44.7601,Compulsory,WA/OR
197,87,-125.266,44.92281,Compulsory,WA/OR
198,87,-124.075,44.9276,Compulsory,WA/OR
199,88,-125.282,45.09029,Compulsory,WA/OR
200,88,-124.04,45.0903,Compulsory,WA/OR
201,89,-125.258,45.25299,Compulsory,WA/OR
202,89,-124.02,45.2578,Compulsory,WA/OR
203,90,-125.215,45.41569,Compulsory,WA/OR
204,90,-124.01,45.4205,Compulsory,WA/OR
205,91,-125.249,45.58795,Compulsory,WA/OR
206,91,-123.99,45.5879,Compulsory,WA/OR
207,92,-125.215,45.75821,Compulsory,WA/OR
208,92,-124.005,45.7582,Compulsory,WA/OR
209,93,-125.353,45.92567,Compulsory,WA/OR
210,93,-124.02,45.9257,Compulsory,WA/OR
211,94,-125.446,46.08743,Compulsory,WA/OR
212,94,-124.04,46.0874,Compulsory,WA/OR
213,95,-125.349,46.25459,Compulsory,WA/OR
214,95,-124.186,46.2546,Compulsory,WA/OR
215,96,-125.15,46.4218,Compulsory,WA/OR
216,96,-124.202,46.4218,Compulsory,WA/OR
217,97,-125.241,46.58891,Compulsory,WA/OR
218,97,-124.189,46.5835,Compulsory,WA/OR
219,98,-125.338,46.75067,Compulsory,WA/OR
220,98,-124.194,46.7507,Compulsory,WA/OR
221,99,-125.302,46.91783,Compulsory,WA/OR
222,99,-124.28,46.9232,Compulsory,WA/OR
223,100,-125.885,47.09577,Compulsory,WA/OR
224,100,-124.333,47.0958,Compulsory,WA/OR
225,101,-125.968,47.25754,Compulsory,WA/OR
226,101,-124.395,47.2575,Compulsory,WA/OR
227,102,-126.141,47.4247,Compulsory,WA/OR
228,102,-124.509,47.4247,Compulsory,WA/OR
229,103,-126.173,47.59186,Compulsory,WA/OR
230,103,-124.559,47.5919,Compulsory,WA/OR
231,105,-126.36,47.92617,Compulsory,WA/OR
232,105,-124.763,47.9262,Compulsory,WA/OR
233,107,-126.333,48.26083,Compulsory,WA/OR
234,107,-124.824,48.2608,Compulsory,WA/OR
235,109,-125.258522,48.448372,Compulsory,Vancouver Island
236,109,-124.974384,48.668662,Compulsory,Vancouver Island
237,111,-125.914536,48.447181,Compulsory,Vancouver Island
238,111,-125.440105,48.832449,Compulsory,Vancouver Island
239,113,-126.609896,48.445371,Compulsory,Vancouver Island
240,113,-125.879865,49.00602,Compulsory,Vancouver Island
241,115,-126.981787,48.672692,Compulsory,Vancouver Island
242,115,-126.269415,49.225031,Compulsory,Vancouver Island
243,117,-127.188316,49.037877,Compulsory,Vancouver Island
244,117,-126.712678,49.40553,Compulsory,Vancouver Island
245,119,-127.635649,49.211072,Compulsory,Vancouver Island
246,119,-126.980721,49.72005,Compulsory,Vancouver Island
247,121,-127.977085,49.467073,Compulsory,Vancouver Island
248,121,-127.373434,49.939217,Compulsory,Vancouver Island
249,123,-128.461784,49.625966,Compulsory,Vancouver Island
250,123,-127.880885,50.082869,Compulsory,Vancouver Island
251,125,-128.702283,49.975612,Compulsory,Vancouver Island
252,125,-128.113985,50.462275,Compulsory,Vancouver Island
253,127,-129.035649,50.238687,Compulsory,Vancouver Island
254,127,-128.452073,50.723036,Compulsory,Vancouver Island
255,1,-124.408,47.67865,Nearshore,WA/OR
256,1,-124.569,47.67865,Nearshore,WA/OR
257,2,-124.372,47.59303,Nearshore,WA/OR
258,2,-124.534,47.59303,Nearshore,WA/OR
259,3,-124.35,47.51007,Nearshore,WA/OR
260,3,-124.509,47.51007,Nearshore,WA/OR
261,4,-124.34,47.42475,Nearshore,WA/OR
262,4,-124.501,47.42475,Nearshore,WA/OR
263,5,-124.298,47.34211,Nearshore,WA/OR
264,5,-124.453,47.34211,Nearshore,WA/OR
265,6,-124.227,47.25872,Nearshore,WA/OR
266,6,-124.387,47.25872,Nearshore,WA/OR
267,7,-124.198,47.1762,Nearshore,WA/OR
268,7,-124.354,47.1762,Nearshore,WA/OR
269,8,-124.178,47.09451,Nearshore,WA/OR
270,8,-124.337,47.09451,Nearshore,WA/OR
271,9,-124.171,47.01194,Nearshore,WA/OR
272,9,-124.328,47.01194,Nearshore,WA/OR
273,10,-124.174,46.92323,Nearshore,WA/OR
274,10,-124.333,46.92323,Nearshore,WA/OR
275,11,-124.109,46.83707,Nearshore,WA/OR
276,11,-124.267,46.83707,Nearshore,WA/OR
277,12,-124.097,46.75073,Nearshore,WA/OR
278,12,-124.255,46.75073,Nearshore,WA/OR
279,13,-124.078,46.66776,Nearshore,WA/OR
280,13,-124.223,46.66776,Nearshore,WA/OR
281,14,-124.064,46.5832,Nearshore,WA/OR
282,14,-124.215,46.5832,Nearshore,WA/OR
283,15,-124.059,46.50017,Nearshore,WA/OR
284,15,-124.212,46.50017,Nearshore,WA/OR
285,16,-124.057,46.42188,Nearshore,WA/OR
286,16,-124.213,46.42188,Nearshore,WA/OR
287,17,-124.059,46.33892,Nearshore,WA/OR
288,17,-124.211,46.33892,Nearshore,WA/OR
289,18,-124.056,46.25472,Nearshore,WA/OR
290,18,-124.212,46.25472,Nearshore,WA/OR
291,19,-123.977,46.17179,Nearshore,WA/OR
292,19,-124.132,46.17179,Nearshore,WA/OR
293,20,-123.938,46.08754,Nearshore,WA/OR
294,20,-124.093,46.08754,Nearshore,WA/OR
295,21,-123.93,46.005,Nearshore,WA/OR
296,21,-124.087,46.005,Nearshore,WA/OR
297,22,-123.981,45.92587,Nearshore,WA/OR
298,22,-124.137,45.92587,Nearshore,WA/OR
299,23,-123.965,45.84418,Nearshore,WA/OR
300,23,-124.118,45.84418,Nearshore,WA/OR
301,24,-123.975,45.75824,Nearshore,WA/OR
302,24,-124.129,45.75824,Nearshore,WA/OR
303,25,-123.94,45.67655,Nearshore,WA/OR
304,25,-124.091,45.67655,Nearshore,WA/OR
305,26,-123.958,45.5889,Nearshore,WA/OR
306,26,-124.109,45.5889,Nearshore,WA/OR
307,27,-123.965,45.50541,Nearshore,WA/OR
308,27,-124.12,45.50541,Nearshore,WA/OR
309,28,-123.958,45.42117,Nearshore,WA/OR
310,28,-124.109,45.42117,Nearshore,WA/OR
311,29,-124.01,45.33863,Nearshore,WA/OR
312,29,-124.138,45.33863,Nearshore,WA/OR
313,30,-123.969,45.25779,Nearshore,WA/OR
314,30,-124.123,45.25779,Nearshore,WA/OR
315,31,-123.972,45.17355,Nearshore,WA/OR
316,31,-124.123,45.17355,Nearshore,WA/OR
317,32,-124.002,45.09101,Nearshore,WA/OR
318,32,-124.155,45.09101,Nearshore,WA/OR
319,33,-124.013,45.00847,Nearshore,WA/OR
320,33,-124.165,45.00847,Nearshore,WA/OR
321,34,-124.03,44.92763,Nearshore,WA/OR
322,34,-124.182,44.92763,Nearshore,WA/OR
323,35,-124.058,44.84371,Nearshore,WA/OR
324,35,-124.211,44.84371,Nearshore,WA/OR
325,36,-124.07,44.76032,Nearshore,WA/OR
326,36,-124.222,44.76032,Nearshore,WA/OR
